point_code,point_name,point
xxxxx,更新日 2024/2/13,0
A0001,新車購入,8000
A0002,中古車購入,4000
A0003,残価型割賦購入,3000
A0013,残価型割賦購入,1500
A0004,残額据置型・通常割賦購入,1500
A0014,残額据置型・通常割賦購入,750
A0005,KINTO購入,1000
A0006,Cパック加入,2000
A0016,Cパック加入,2000
A0007,車両紹介お礼,5000
A0008,入庫ポイント,100
A0009,入庫キャンセル,-100
A0010,CSアンケート回答ポイント,300
A1010,10000ポイントプレゼント,10000
A1020,20000ポイントプレゼント,20000
A1030,30000ポイントプレゼント,30000
A1040,40000ポイントプレゼント,40000
A1050,50000ポイントプレゼント,50000
A1150,15000ポイントプレゼント,15000
A1900,9000ポイントプレゼント,9000
A2001,100ポイントプレゼント,100
A2031,3000ポイントプレゼント,3000
A2032,季節クーポン　バッテリー購入,3100
A2003,300ポイントプレゼント,300
A2005,500ポイントプレゼント,500
A2010,1000ポイントプレゼント,1000
A2011,1000ポイントプレゼント,1000
A2012,1000ポイントプレゼント,1000
A2013,お誕生日１０倍ポイントクーポン,1000
A2020,2000ポイントプレゼント,2000
A2030,3000ポイントプレゼント,3000
A2040,4000ポイントプレゼント,4000
A2050,5000ポイントプレゼント,5000
A2060,6000ポイントプレゼント,6000
A3001,新年100ptプレゼント,100
A3010,新年1000ptプレゼント,1000
A3030,新年3000ptプレゼント,3000
A3050,新年5000ptプレゼント,5000
A4001,TS3カードキャンペーン,500
A4002,残価キャンペーン,5000
A4003,GR松本展示品販売特別ポイント,x
A4004,ワイン購入,5000
