store_code,store_name
xx,更新日 2023/1/15
12,徳間店
13,東和田店
14,穂高店
15,松本北店
16,茅野店
18,上田川西店
20,佐久ＳＳ
21,柳原店
22,プリズム店
24,法人営業部長野業販課
25,更埴店
29,松本店
2B,篠ノ井ＳＳ
2E,佐久北店
2G,松本中央ＳＣ
2P,ＣＣＢ飯田店
2Q,ＣＣＢ安曇店
2R,ＣＣＢ伊那店
30,飯田店
31,岡谷店
32,諏訪店
33,伊那店
34,小諸ＳＳ
35,上田店
36,更埴ＳＳ
37,中野店
38,ＣＣＢ川中島店
39,大町ＳＳ
40,佐久店
41,川中島店
42,ＣＣＢ松本店
44,木曽店
45,松本南店
47,ＣＣＢ上田店
48,ＣＣＢ若槻店
50,長野店
51,法人営業部松本法人課
52,上田中央店
55,ＣＣＢ佐久店
57,塩尻ＳＳ
59,須坂店
60,法人営業部上田法人課
61,法人営業部飯田法人課
62,法人営業部諏訪法人課
64,法人営業部佐久法人課
69,小諸店
72,大町店
73,ＧＲガレージ長野
74,ＧＲ松本
75,商品化センター
76,安曇店
77,レクサス長野
78,松本中央店
79,塩尻店
81,下諏訪店
82,伊那春近店
83,上田西ＳＳ
84,中野吉田ＳＳ
85,SUV VILLAGE 川中島
87,東御ＳＳ
88,中野ＳＳ
91,軽井沢店
92,駒ヶ根店
93,伊北店
94,飯山ＳＳ
23,法人営業部長野法人課
17,サービス本部
96,周辺利益部
27,サービスセンター
